customer_id,customer_name,gender,age,customer_segment,city,region,registration_date
C00001,Budi Lestari,M,22.0,Consumer,Pontianak,Kalimantan,2022-01-15
C00002,Hana Permata,F,40.0,Consumer,South Jakarta,Jakarta,2023-09-10
C00003,Indra Maulana,F,38.0,Consumer,Bekasi,West Java,2024-01-14
C00004,PT Sentosa Mandiri,,,Small Business,North Jakarta,Jakarta,2022-01-03
C00005,Karin Maulana,M,19.0,Consumer,Central Jakarta,Jakarta,2025-03-11
C00006,Andi Ramadhan,F,56.0,Consumer,Medan,Sumatra,2024-03-11
C00007,PT Prima Jaya,,,Small Business,Central Jakarta,Jakarta,2022-06-18
C00008,Raka Pratama,F,27.0,Consumer,North Jakarta,Jakarta,2024-02-15
C00009,PT Nusantara Sejahtera,,,Small Business,Malang,East Java,2024-03-16
C00010,Andi Pratama,F,24.0,Consumer,Kediri,East Java,2024-06-22
C00011,Raka Santoso,F,34.0,Consumer,Bekasi,West Java,2025-11-07
C00012,Andi Ramadhan,F,23.0,Consumer,Bogor,West Java,2024-12-31
C00013,Tio Saputra,F,27.0,Consumer,Central Jakarta,Jakarta,2025-01-18
C00014,PT Artha Indonesia,,,Corporate,Central Jakarta,Jakarta,2024-01-25
C00015,Tio Santoso,F,36.0,Consumer,Sidoarjo,East Java,2024-10-03
C00016,Fajar Putri,M,28.0,Consumer,Banjarmasin,Kalimantan,2022-03-08
C00017,Fajar Maulana,F,50.0,Consumer,Semarang,Central Java,2025-09-28
C00018,Maya Putri,F,54.0,Consumer,Kediri,East Java,2025-05-01
C00019,Vina Hidayat,F,28.0,Consumer,East Jakarta,Jakarta,2024-05-04
C00020,PT Global Sentosa,,,Corporate,North Jakarta,Jakarta,2022-07-27
C00021,Eko Maulana,M,30.0,Consumer,Bandung,West Java,2024-05-10
C00022,Budi Maulana,F,46.0,Consumer,East Jakarta,Jakarta,2024-03-06
C00023,Dewi Nugroho,F,28.0,Consumer,Bekasi,West Java,2022-10-18
C00024,Fajar Pratama,F,49.0,Consumer,Padang,Sumatra,2022-11-18
C00025,PT Nusa Retail,,,Corporate,Depok,West Java,2022-01-04
C00026,Indra Ramadhan,M,53.0,Consumer,Cimahi,West Java,2022-04-28
C00027,PT Nusa Abadi,,,Corporate,West Jakarta,Jakarta,2024-11-14
C00028,Wahyu Hidayat,M,39.0,Consumer,Bogor,West Java,2022-01-01
C00029,Vina Santoso,F,22.0,Consumer,Jember,East Java,2024-03-24
C00030,Hana Kusuma,M,41.0,Consumer,Palembang,Sumatra,2024-11-01
C00031,Nadia Lestari,M,47.0,Consumer,Bekasi,West Java,2024-01-28
C00032,PT Nusantara Digital,,,Small Business,Bandung,West Java,2022-12-03
C00033,Citra Putri,F,20.0,Consumer,Central Jakarta,Jakarta,2025-06-22
C00034,Karin Hidayat,M,40.0,Consumer,Central Jakarta,Jakarta,2025-04-07
C00035,Vina Hidayat,F,53.0,Consumer,Tegal,Central Java,2024-08-05
C00036,Citra Permata,F,19.0,Consumer,Bandung,West Java,2022-12-06
C00037,PT Nusantara Sejahtera,,,Small Business,Kediri,East Java,2025-05-21
C00038,Budi Nugroho,F,34.0,Consumer,East Jakarta,Jakarta,2023-05-02
C00039,PT Nusa Retail,,,Corporate,Pontianak,Kalimantan,2025-05-07
C00040,Tio Putri,F,20.0,Consumer,Surabaya,East Java,2023-12-12
C00041,Fajar Maulana,M,34.0,Consumer,Depok,West Java,2024-06-02
C00042,Eko Hidayat,M,38.0,Consumer,Pontianak,Kalimantan,2025-11-12
C00043,Hana Nugroho,M,46.0,Consumer,Bandung,West Java,2023-10-19
C00044,Tio Ramadhan,M,35.0,Consumer,West Jakarta,Jakarta,2022-06-02
C00045,Joko Kusuma,M,34.0,Consumer,East Jakarta,Jakarta,2025-11-22
C00046,PT Prima Sejahtera,,,Small Business,Bandung,West Java,2025-07-04
C00047,PT Artha Sentosa,,,Corporate,Malang,East Java,2022-06-28
C00048,Tio Ramadhan,F,40.0,Consumer,Banjarmasin,Kalimantan,2023-12-28
C00049,Hana Wijaya,M,20.0,Consumer,Surakarta,Central Java,2022-03-18
C00050,Vina Kusuma,F,43.0,Consumer,Padang,Sumatra,2023-03-09
C00051,Nadia Ramadhan,F,23.0,Consumer,Jember,East Java,2025-04-29
C00052,PT Nusantara Abadi,,,Small Business,Medan,Sumatra,2022-06-08
C00053,Andi Nugroho,M,23.0,Consumer,Surabaya,East Java,2022-08-22
C00054,Wahyu Ramadhan,F,51.0,Consumer,South Jakarta,Jakarta,2023-04-16
C00055,PT Prima Logistik,,,Small Business,Bogor,West Java,2023-02-09
C00056,Gita Kusuma,M,26.0,Consumer,Kediri,East Java,2025-08-08
C00057,Eko Permata,F,29.0,Consumer,Depok,West Java,2023-07-05
C00058,PT Nusantara Mandiri,,,Small Business,South Jakarta,Jakarta,2022-01-30
C00059,PT Maju Mandiri,,,Small Business,Surakarta,Central Java,2022-07-04
C00060,PT Nusantara Digital,,,Small Business,Sidoarjo,East Java,2022-05-29
C00061,Hana Hidayat,M,47.0,Consumer,Surabaya,East Java,2024-07-29
C00062,Vina Santoso,F,26.0,Consumer,Bogor,West Java,2024-10-28
C00063,PT Nusantara Jaya,,,Small Business,West Jakarta,Jakarta,2022-03-05
C00064,Dewi Kusuma,F,28.0,Consumer,Tegal,Central Java,2022-11-30
